"issue_key","created","resolutiondate","days_to_solve"
"LUCENE-1625","2009-05-01","2009-06-26","56"
"LUCENE-1502","2008-12-29","2009-01-06","8"
"LUCENE-6639","2015-06-29","2015-07-06","7"
"LUCENE-4028","2012-05-04","2012-05-04","0"
"LUCENE-6214","2015-01-31","2015-02-25","25"
"LUCENE-1153","2008-01-25","2008-01-25","0"
"LUCENE-1383","2008-09-11","2008-09-14","3"
"LUCENE-674","2006-09-20","2008-09-22","733"
"LUCENE-4633","2012-12-16","2012-12-16","0"
"LUCENE-137","2003-09-30","2006-05-27","970"
"LUCENE-1168","2008-02-07","2008-02-07","0"
"LUCENE-2315","2010-03-13","2011-02-27","351"
"LUCENE-2117","2009-12-05","2009-12-09","4"
"LUCENE-6613","2015-06-26","2015-06-26","0"
"LUCENE-789","2007-01-29","2007-04-25","86"
"LUCENE-1927","2009-09-25","2009-09-25","0"
"LUCENE-3358","2011-08-03","2011-08-04","1"
"LUCENE-4465","2012-10-08","2013-01-15","99"
"LUCENE-5206","2013-09-12","2013-09-12","0"
"LUCENE-335","2005-01-17","2006-05-27","495"
"LUCENE-2526","2010-07-04","2010-07-04","0"
"LUCENE-3831","2012-02-28","2012-03-07","8"
"LUCENE-6505","2015-05-27","2015-05-28","1"
"LUCENE-1818","2009-08-17","2009-08-17","0"
"LUCENE-3822","2012-02-26","2012-02-26","0"
"LUCENE-6292","2015-02-24","2015-02-25","1"
"LUCENE-4160","2012-06-21","2012-06-29","8"
"LUCENE-4480","2012-10-12","2012-10-12","0"
"LUCENE-1223","2008-03-11","2008-03-12","1"
"LUCENE-5375","2013-12-13","2014-01-15","33"
"LUCENE-2129","2009-12-07","2009-12-07","0"
"LUCENE-2688","2010-10-05","2010-10-07","2"
"LUCENE-717","2006-11-19","2006-11-28","9"
"LUCENE-6046","2014-11-03","2014-11-04","1"
"LUCENE-2016","2009-10-29","2009-11-07","9"
"LUCENE-3814","2012-02-21","2014-01-24","703"
"LUCENE-4878","2013-03-25","2013-03-25","0"
"LUCENE-440","2005-09-27","2005-11-07","41"
"LUCENE-5863","2014-07-30","2014-09-24","56"
"LUCENE-5840","2014-07-21","2014-07-22","1"
"LUCENE-6015","2014-10-20","2014-10-21","1"
"LUCENE-5635","2014-05-01","2014-05-01","0"
"LUCENE-6514","2015-06-01","2015-06-01","0"
"LUCENE-1678","2009-06-09","2009-07-14","35"
"LUCENE-5647","2014-05-06","2015-01-20","259"
"LUCENE-38","2002-06-11","2008-11-13","2347"
"LUCENE-5973","2014-09-23","2014-09-23","0"
"LUCENE-4601","2012-12-07","2012-12-10","3"
"LUCENE-3977","2012-04-12","2012-04-21","9"
"LUCENE-3845","2012-03-04","2012-03-07","3"
"LUCENE-215","2004-04-12","2006-05-27","775"
"LUCENE-5176","2013-08-14","2013-08-14","0"
"LUCENE-2142","2009-12-10","2010-06-24","196"
"LUCENE-5901","2014-08-23","2014-08-26","3"
"LUCENE-1331","2008-07-08","2008-07-10","2"
"LUCENE-235","2004-07-06","2006-05-27","690"
"LUCENE-59","2002-09-18","2006-05-27","1347"
"LUCENE-744","2006-12-12","2006-12-16","4"
"LUCENE-326","2004-12-27","2006-05-27","516"
"LUCENE-2645","2010-09-15","2011-06-04","262"
"LUCENE-5246","2013-09-29","2013-11-14","46"
"LUCENE-1062","2007-11-20","2007-11-23","3"
"LUCENE-3356","2011-08-02","2011-08-07","5"
"LUCENE-3969","2012-04-09","2012-04-19","10"
"LUCENE-3641","2011-12-11","2011-12-11","0"
"LUCENE-275","2004-09-11","2006-05-27","623"
"LUCENE-4260","2012-07-26","2012-07-27","1"
"LUCENE-6658","2015-07-06","2015-07-06","0"
"LUCENE-2944","2011-03-01","2011-03-21","20"
"LUCENE-1013","2007-10-01","2007-10-05","4"
"LUCENE-4034","2012-05-06","2012-05-06","0"
"LUCENE-2980","2011-03-22","2011-03-23","1"
"LUCENE-5522","2014-03-12","2014-03-17","5"
"LUCENE-2954","2011-03-08","2011-03-08","0"
"LUCENE-818","2007-02-26","2007-03-14","16"
"LUCENE-5886","2014-08-14","2014-08-15","1"
"LUCENE-3100","2011-05-14","2011-05-17","3"
"LUCENE-1254","2008-03-31","2008-04-01","1"
"LUCENE-6429","2015-04-16","2015-04-16","0"
"LUCENE-3472","2011-09-27","2011-09-27","0"
"LUCENE-359","2005-03-08","2006-06-06","455"
"LUCENE-1326","2008-07-03","2008-07-04","1"
"LUCENE-1846","2009-08-23","2011-01-25","520"
"LUCENE-2074","2009-11-16","2010-04-08","143"
"LUCENE-2566","2010-07-26","2012-05-25","669"
"LUCENE-1912","2009-09-17","2009-09-17","0"
"LUCENE-4475","2012-10-11","2012-10-11","0"
"LUCENE-518","2006-03-11","2008-11-12","977"
"LUCENE-945","2007-06-27","2007-06-27","0"
"LUCENE-3656","2011-12-19","2011-12-20","1"
"LUCENE-3463","2011-09-25","2011-10-05","10"
"LUCENE-491","2006-02-02","2006-02-06","4"
"LUCENE-1462","2008-11-19","2008-12-12","23"
"LUCENE-2359","2010-03-31","2010-11-27","241"
"LUCENE-3224","2011-06-21","2011-06-21","0"
"LUCENE-2293","2010-03-03","2010-03-15","12"
"LUCENE-3551","2011-11-01","2011-11-04","3"
"LUCENE-5228","2013-09-20","2014-01-25","127"
"LUCENE-5906","2014-08-26","2014-09-04","9"
"LUCENE-258","2004-08-12","2006-05-27","653"
"LUCENE-4310","2012-08-17","2012-08-17","0"
"LUCENE-2095","2009-11-25","2009-12-02","7"
"LUCENE-1255","2008-03-31","2008-04-29","29"
"LUCENE-1006","2007-09-27","2007-09-29","2"
"LUCENE-5045","2013-06-09","2013-06-09","0"
"LUCENE-6408","2015-04-08","2015-04-15","7"
"LUCENE-5128","2013-07-20","2013-07-23","3"
"LUCENE-3858","2012-03-09","2012-03-09","0"
"LUCENE-4436","2012-09-26","2012-09-26","0"
"LUCENE-1666","2009-05-28","2009-05-28","0"
"LUCENE-883","2007-05-17","2007-05-19","2"
"LUCENE-2184","2009-12-28","2010-11-27","334"
"LUCENE-1599","2009-04-13","2009-07-05","83"
"LUCENE-6036","2014-10-30","2014-10-30","0"
"LUCENE-3378","2011-08-17","2011-08-17","0"
"LUCENE-3375","2011-08-12","2011-08-16","4"
"LUCENE-1164","2008-02-05","2008-02-08","3"
"LUCENE-461","2005-11-08","2005-11-12","4"
"LUCENE-898","2007-05-31","2009-06-02","733"
"LUCENE-2668","2010-09-25","2010-09-28","3"
"LUCENE-6447","2015-04-21","2015-04-21","0"
"LUCENE-3573","2011-11-14","2011-11-17","3"
